Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings
RUN,Sunrun Inc.,Technology,Solar,USA,5.19B,-,21.24,-7.49%,"5,053,635",-15.62%,-40.19%,-2.55%,-12.03%,-53.77%,-33.06%,6.64%,7.24%,2.10,7.90M,1.46,2.23,2.25,-27.73%,-34.75%,-23.40%,-64.95%,26.43%,25.63,-8.92%,1.57%,211.13M,199.62M,1.90%,-13.41%,95.10%,0.18%,13.24%,3.35,-,-,2.66,0.76,9.94,-,68.80%,33.30%,-20.50%,47.82%,27.50%,-,-0.70%,-1.80%,-5.30%,1.70,1.20,1.17,1.20,13.60%,-34.90%,-5.90%,Nov 02/a
SHOP,Shopify Inc.,Technology,Software - Application,Canada,36.61B,-,26.12,-0.46%,"17,738,700",-12.71%,-22.11%,-16.09%,-56.61%,-81.24%,-80.95%,7.32%,6.42%,2.70,30.45M,1.33,1.83,2.01,-9.04%,-19.74%,-50.64%,-85.18%,10.53%,38.80,-3.23%,2.86%,1.26B,1.17B,0.17%,0.00%,62.20%,0.19%,4.17%,1.61,4373.33,-,7.32,3.80,5.26,622.59,784.30%,185.70%,124.00%,-,64.00%,-,-15.40%,-18.50%,0.40%,11.20,11.20,0.10,0.10,51.90%,-5.60%,-38.00%,Jul 27/b
STOR,STORE Capital Corporation,Real Estate,REIT - Diversified,USA,8.88B,26.26,31.33,0.08%,"2,335,706",-0.41%,16.83%,16.53%,5.17%,-6.48%,-9.01%,0.45%,0.71%,3.10,4.96M,1.08,0.99,0.43,-0.64%,6.58%,7.43%,-13.30%,27.96%,61.43,-0.24%,0.32%,280.84M,280.04M,0.30%,0.00%,83.80%,0.03%,2.63%,1.48,27.03,4.31,10.39,1.64,287.35,-,18.20%,-2.69%,6.20%,6.09%,15.80%,5.24%,3.30%,6.30%,2.30%,-,-,0.87,0.87,98.20%,33.10%,38.40%,Aug 03/a
SYF,Synchrony Financial,Financial,Credit Services,USA,15.93B,4.72,31.69,-2.13%,"2,405,947",2.83%,2.02%,3.15%,-13.58%,-33.10%,-30.20%,3.87%,3.72%,2.30,5.07M,1.09,1.56,1.26,3.89%,-2.36%,-12.36%,-39.63%,16.44%,52.69,-2.79%,0.68%,493.00M,479.72M,0.30%,-4.60%,98.30%,0.03%,3.12%,2.96,5.92,-,0.99,1.26,1.49,2.43,222.90%,-7.32%,22.10%,-8.80%,0.70%,2.84%,3.90%,28.40%,44.60%,-,-,0.96,0.96,-,82.60%,22.70%,Oct 25/b
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,USA,741.66B,79.84,208.51,-5.96%,"46,939,792",-6.89%,-26.73%,-7.64%,-34.94%,-17.99%,-37.06%,5.28%,4.74%,2.40,73.72M,1.46,2.07,12.85,-20.39%,-25.60%,-27.16%,-49.70%,1.11%,25.54,-6.89%,1.00%,3.11B,2.62B,0.10%,-74.58%,44.40%,-0.06%,2.39%,0.85,37.57,1.45,11.04,18.97,39.21,52.74,669.20%,43.02%,48.60%,54.98%,50.40%,-,15.00%,29.80%,15.70%,1.40,1.10,0.08,0.12,27.10%,15.90%,14.20%,Oct 19/a
TTD,"The Trade Desk, Inc.",Technology,Software - Application,USA,27.59B,795.00,50.47,-3.81%,"1,358,816",-14.22%,-17.51%,21.74%,-21.70%,-30.71%,-42.74%,6.85%,5.24%,2.00,6.15M,0.51,1.85,3.37,-14.63%,-18.93%,-18.01%,-55.76%,29.41%,31.63,-5.50%,1.79%,486.31M,439.99M,0.50%,0.48%,77.70%,0.03%,3.72%,2.66,44.85,49.69,19.87,14.34,22.75,57.23,-44.10%,17.35%,43.30%,16.00%,42.60%,-,1.00%,2.20%,9.20%,1.90,1.90,0.00,0.00,81.90%,2.90%,2.40%,Aug 09/a
TWTR,"Twitter, Inc.",Communication Services,Internet Content & Information,USA,38.69B,-,50.62,0.55%,"4,138,778",1.92%,20.14%,33.39%,9.79%,-19.07%,16.47%,2.32%,3.75%,3.00,15.18M,0.62,0.54,1.68,11.54%,17.06%,24.88%,-26.01%,61.71%,69.10,0.25%,0.30%,766.84M,635.95M,4.30%,-0.40%,60.80%,0.08%,4.93%,2.06,83.62,-,7.40,6.50,6.32,-,80.70%,-46.39%,15.70%,-,15.00%,-,-0.80%,-1.70%,-1.90%,7.20,7.20,0.88,0.00,60.80%,-18.70%,-2.10%,Jul 22/b
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,USA,367.75B,26.40,130.64,-1.24%,"1,945,606",0.46%,-1.96%,2.49%,-15.86%,-4.40%,-8.58%,2.78%,2.26%,2.00,7.87M,0.56,0.50,3.05,-1.10%,-1.76%,-4.42%,-18.74%,11.40%,46.49,-1.36%,0.12%,2.74B,1.40B,0.80%,-22.43%,32.90%,-0.03%,1.04%,1.86,20.19,4.40,0.63,4.67,26.41,-,2.70%,11.52%,2.10%,6.00%,3.30%,1.69%,5.60%,17.30%,14.30%,0.80,0.20,0.44,0.65,24.60%,3.60%,2.40%,Aug 16/b
ZEN,"Zendesk, Inc.",Technology,Software - Application,USA,9.46B,-,76.33,-0.16%,"315,453",-0.27%,-0.33%,2.85%,-39.58%,-36.84%,-26.69%,0.49%,0.49%,2.90,2.44M,0.30,0.91,0.39,-0.08%,-0.20%,-18.40%,-44.00%,40.93%,48.10,-0.24%,0.08%,122.84M,122.43M,0.70%,-19.19%,93.20%,-5.29%,8.20%,4.12,82.92,-,6.23,28.74,8.16,64.11,1.20%,23.92%,-12.30%,34.24%,33.70%,-,-11.50%,-69.10%,-10.80%,1.60,1.60,3.48,3.94,79.90%,-15.80%,-18.30%,Jul 28/a
ZI,ZoomInfo Technologies Inc.,Technology,Software - Application,USA,19.06B,1659.23,42.22,-2.13%,"887,567",-11.27%,-3.92%,19.07%,-24.53%,-34.02%,-32.80%,6.03%,4.66%,1.70,3.62M,0.56,-,2.21,-1.51%,-6.55%,-9.95%,-46.67%,39.29%,45.65,-4.24%,2.20%,401.10M,293.21M,7.20%,-8.49%,87.60%,-6.16%,4.43%,3.59,41.16,46.51,20.52,8.14,52.13,63.19,372.90%,31.00%,-,35.67%,-,-,1.80%,6.30%,3.10%,1.10,1.10,0.58,0.58,81.90%,12.20%,13.60%,Aug 01/a
